"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"59","RT @ObamaFoundation: It’s a big day in Chicago as @NBAAllStar returns to our city for the first time since 1988. But before tipoff we’re ki…",FALSE,0,NA,2020-02-14 21:55:34,FALSE,NA,"1228437652791267328",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BarackObama",2839,TRUE,FALSE,NA,NA
"60","Happy Valentine’s Day to my forever dance partner, @MichelleObama. https://t.co/lHvTGUwEHr",FALSE,757968,NA,2020-02-14 17:40:29,FALSE,NA,"1228373460616962048",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BarackObama",58375,FALSE,FALSE,NA,NA
"61","What a great example of citizenship, what each of us can do to make a difference for all of us: https://t.co/YxsvONUuVl",FALSE,117023,NA,2020-02-13 15:31:32,FALSE,NA,"1227978620926296064",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BarackObama",15779,FALSE,FALSE,NA,NA
"62","Even if the methods are new, sowing the seeds of doubt, division, and discord to turn Americans against each other… https://t.co/He8uASDGEF",FALSE,202926,NA,2020-02-11 21:05:32,TRUE,NA,"1227337897692495873",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BarackObama",53450,FALSE,FALSE,NA,NA
"63","Thirty years on, I remember the hope we all felt watching Mandela’s release from prison. The gift of a new way of s… https://t.co/ZtWqtwqYmE",FALSE,282679,NA,2020-02-11 18:09:29,TRUE,NA,"1227293592860987392",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BarackObama",28683,FALSE,FALSE,NA,NA
"64","Congrats to Julia and Steven, the filmmakers behind American Factory, for telling such a complex, moving story abou… https://t.co/gvQzSMCVPE",FALSE,184521,NA,2020-02-10 02:38:19,TRUE,NA,"1226696870292008960",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BarackObama",24400,FALSE,FALSE,NA,NA
"65","Sixty years ago today, the Greensboro Four stood up to injustice by sitting down at a lunch counter. Our journey is… https://t.co/fLcldO9VnD",FALSE,331677,NA,2020-02-01 20:36:40,TRUE,NA,"1223706755693187078",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","BarackObama",49193,FALSE,FALSE,NA,NA
"66","Kobe was a legend on the court and just getting started in what would have been just as meaningful a second act. To… https://t.co/YlRRr9ng7Q",FALSE,4111882,NA,2020-01-26 21:56:16,TRUE,NA,"1221552460768202756",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BarackObama",681868,FALSE,FALSE,NA,NA
"67","Every so often, I re-read Dr. King’s Letter from a Birmingham Jail. While some of the injustices may have changed,… https://t.co/9TxGaZKcaC",FALSE,264881,NA,2020-01-20 14:35:29,TRUE,NA,"1219267208250941440",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BarackObama",53245,FALSE,FALSE,NA,NA
"68","In every scene, you are my star, @MichelleObama! Happy birthday, baby! https://t.co/hgMBhHasBj",FALSE,2793966,NA,2020-01-17 14:13:19,FALSE,NA,"1218174463046553600",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BarackObama",393118,FALSE,FALSE,NA,NA
